Genera	Meth
Acholeplasma	F Anaerobic
Actinomycetaceae	F Anaerobic
Aeriscardovia	Aerobic
Aerococcus	F Anaerobic
Aggregatibacter	F Anaerobic
Alloscardovia	Anaerobic
Alpinimonas	Aerobic
Alysiella	Aerobic
Anaerococcus	Anaerobic
Anaeroglobus	Anaerobic
Bifidobacteriaceae	Anaerobic
Blvii28 wastewater-sludge group	Anaerobic
Butyrivibrio	Anaerobic
Candidatus Saccharimonas	Anaerobic
Cardiobacterium	Aerobic
Catonella	Anaerobic
Collinsella	Anaerobic
Comamonadaceae	Aerobic
Coriobacteriaceae	Anaerobic
Corynebacteriaceae	Aerobic
Cytophaga	Aerobic
Defluviitaleaceae UCG-011	Anaerobic
Desulfohalobiaceae	Anaerobic
Dialister	Anaerobic
Eikenella	Anaerobic
Erysipelotrichaceae UCG-002	F Anaerobic
Erysipelotrichaceae UCG-006	F Anaerobic
Erysipelotrichaceae UCG-007	F Anaerobic
Escherichia-Shigella	F Anaerobic
Ezakiella	Anaerobic
Family XI	Anaerobic
Family XIII	Anaerobic
Family XIII UCG-001	Anaerobic
Fastidiosipila	Anaerobic
Fluviicola	Aerobic
Fusobacterium	Anaerobic
Gardnerella	Anaerobic
Giesbergeria	Aerobic
Granulicatella	Anaerobic
Howardella	Anaerobic
Johnsonella	Anaerobic
Kingella	Aerobic
Lachnospiraceae	Anaerobic
Leptotrichiaceae	Anaerobic
Mangroviflexus	Anaerobic
Microbacteriaceae	Aerobic
Micrococcaceae	F Anaerobic
Mogibacterium	Anaerobic
Moraxella	Aerobic
Murdochiella	Anaerobic
Mycoplasma	F Anaerobic
Oribacterium	Anaerobic
P5D1-392	Anaerobic
Parvimonas	Anaerobic
Peptoclostridium	Anaerobic
Peptococcus	Anaerobic
Peptoniphilus	Anaerobic
Peptostreptococcaceae	Anaerobic
Peptostreptococcus	Anaerobic
Photobacterium	Aerobic
Pseudoramibacter	Anaerobic
Rhodospirillaceae	Anaerobic
Ruminococcaceae UCG-014	Anaerobic
Scardovia	Anaerobic
Sediminibacterium	Aerobic
Senegalimassilia	Anaerobic
Shuttleworthia	Anaerobic
Simonsiella	Aerobic
Sneathia	Anaerobic
Solobacterium	Anaerobic
Spirochaeta	Anaerobic
Streptobacillus	F Anaerobic
uncultured Fusobacterium sp.	Anaerobic
Ureaplasma	F Anaerobic
WCHB1-69	Anaerobic
[Eubacterium] brachy group	Anaerobic
[Eubacterium] coprostanoligenes group	Anaerobic
[Eubacterium] nodatum group	Anaerobic
Abiotrophia	F Anaerobic
Acidovorax	Aerobic
Acinetobacter	Aerobic
Actinobacillus	Aerobic
Actinomyces	Anaerobic
Alloprevotella	Anaerobic
Arcanobacterium	Anaerobic
Atopobium	F Anaerobic
Bacillus	Aerobic
Bacteroidales S24-7 group	Anaerobic
Bacteroides	Anaerobic
Bergeyella	Aerobic
Bifidobacterium	F Anaerobic
Blautia	Anaerobic
Bradyrhizobium	Aerobic
Bulleidia	Anaerobic
Campylobacter	F Anaerobic
Capnocytophaga	F Anaerobic
Chryseobacterium	Aerobic
Comamonas	Aerobic
Corynebacterium	Aerobic
Desulfobulbus	Anaerobic
Desulfomicrobium	Anaerobic
Desulfovibrio	Anaerobic
Enterobacter	Anaerobic
Filifactor	Anaerobic
Flavobacterium	Aerobic
Fretibacterium	Anaerobic
Gemella	F Anaerobic
Haemophilus	F Anaerobic
Incertae Sedis	Anaerobic
Kocuria	Anaerobic
Lachnoanaerobaculum	Anaerobic
Lactobacillus	F Anaerobic
Lactococcus	F Anaerobic
Lautropia	Aerobic
Leptotrichia	Anaerobic
Megasphaera	Anaerobic
Mobiluncus	Anaerobic
Neisseria	Aerobic
Neisseriaceae	Aerobic
Paludibacter	Anaerobic
Pasteurellaceae	F Anaerobic
Pedobacter	Aerobic
Phocaeicola	Anaerobic
Polynucleobacter	Aerobic
Porphyromonadaceae	Anaerobic
Porphyromonas	Anaerobic
Prevotella	Anaerobic
Propionibacterium	Anaerobic
Pseudarcicella	Aerobic
Pseudomonas	F Anaerobic
Rikenellaceae RC9 gut group	Anaerobic
Roseburia	Anaerobic
Rothia	F Anaerobic
Selenomonas	Anaerobic
Slackia	Anaerobic
Sphingomonas	Aerobic
Staphylococcus	F Anaerobic
Stomatobaculum	Anaerobic
Streptococcus	F Anaerobic
Tannerella	Anaerobic
Treponema	Anaerobic
Veillonella	Anaerobic
Veillonellaceae	Anaerobic
Wolinella	Anaerobic
